ACTS,Cases_count,Case_Category,State,ShortExplanationOfAct,ShortExplanationOfCase
"Juvenile Justice Act, 2015",297,Cybercrime,Haryana,Defines legal provisions for minors involved in crimes.,"Covers hacking, identity theft, and online fraud cases."
"Consumer Protection Act, 2019",137,RTI Cases,West Bengal,Protects consumer rights and addresses unfair trade practices.,Involves cases where public authorities deny access to information.
"Consumer Protection Act, 2019",257,Corporate,Karnataka,Protects consumer rights and addresses unfair trade practices.,Involves legal matters related to businesses and trade practices.
"National Green Tribunal Act, 2010",495,Cybercrime,Gujarat,Establishes special courts for environmental disputes.,"Covers hacking, identity theft, and online fraud cases."
"Indian Penal Code, 1860",13,RTI Cases,Andhra Pradesh,Defines criminal offenses and penalties in India.,Involves cases where public authorities deny access to information.
"Protection of Women from Domestic Violence Act, 2005",76,Corporate,Madhya Pradesh,Provides protection and legal recourse for domestic abuse victims.,Involves legal matters related to businesses and trade practices.
"Contract Act, 1872",80,Business Law,Kerala,Governs contractual agreements and breach of contract cases.,Concerns legal regulations for business operations.
"National Green Tribunal Act, 2010",293,Environmental,Uttarakhand,Establishes special courts for environmental disputes.,Deals with violations of environmental laws and pollution control.
"Banking Regulation Act, 1949",370,Consumer Dispute,Maharashtra,Governs banking policies and financial transactions.,Concerns cases of defective products and unfair trade practices.
"Factories Act, 1948",284,Cybercrime,Karnataka,Ensures worker safety and regulates factory labor laws.,"Covers hacking, identity theft, and online fraud cases."
"Information Technology Act, 2000",457,Arbitration,Karnataka,Addresses cybercrimes and electronic transactions.,Settles disputes outside courts through mutual agreement.
"Motor Vehicles Act, 1988",370,Labor Dispute,Delhi,"Regulates motor vehicle laws, accidents, and compensation.",Concerns workplace disputes between employees and employers.
"Juvenile Justice Act, 2015",196,Labor Dispute,Uttar Pradesh,Defines legal provisions for minors involved in crimes.,Concerns workplace disputes between employees and employers.
"Indian Penal Code, 1860",95,Taxation,Jharkhand,Defines criminal offenses and penalties in India.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Civil Procedure Code, 1908",229,Business Law,Tamil Nadu,Governs civil litigation and procedures in Indian courts.,Concerns legal regulations for business operations.
"Arbitration and Conciliation Act, 1996",110,RTI Cases,Chhattisgarh,Regulates arbitration for dispute resolution outside courts.,Involves cases where public authorities deny access to information.
"Protection of Women from Domestic Violence Act, 2005",343,Corporate,Haryana,Provides protection and legal recourse for domestic abuse victims.,Involves legal matters related to businesses and trade practices.
"Information Technology Act, 2000",374,Consumer Dispute,Rajasthan,Addresses cybercrimes and electronic transactions.,Concerns cases of defective products and unfair trade practices.
"Prevention of Corruption Act, 1988",381,Consumer Dispute,Delhi,Deals with bribery and corruption among public officials.,Concerns cases of defective products and unfair trade practices.
"Hindu Marriage Act, 1955",184,Anti-Corruption,Andhra Pradesh,"Regulates marriage, divorce, and inheritance in Hindu families.",Involves bribery and misuse of power in government offices.
"Companies Act, 2013",471,Consumer Dispute,Odisha,Regulates corporate governance and business operations in India.,Concerns cases of defective products and unfair trade practices.
"Environment Protection Act, 1986",219,Criminal,West Bengal,Lays down guidelines for environmental protection and pollution control.,"Involves crimes such as theft, assault, and fraud."
"Companies Act, 2013",380,Civil,West Bengal,Regulates corporate governance and business operations in India.,"Deals with disputes related to property, contracts, and defamation."
"Juvenile Justice Act, 2015",248,Environmental,Odisha,Defines legal provisions for minors involved in crimes.,Deals with violations of environmental laws and pollution control.
"Right to Information Act, 2005",189,Labor Dispute,Delhi,Grants citizens access to government records and transparency.,Concerns workplace disputes between employees and employers.
"Right to Information Act, 2005",322,Anti-Corruption,Uttar Pradesh,Grants citizens access to government records and transparency.,Involves bribery and misuse of power in government offices.
"Hindu Marriage Act, 1955",89,Religious Law,Telangana,"Regulates marriage, divorce, and inheritance in Hindu families.",Concerns legal matters governed by personal laws of different religions.
"Protection of Women from Domestic Violence Act, 2005",228,Environmental,Haryana,Provides protection and legal recourse for domestic abuse victims.,Deals with violations of environmental laws and pollution control.
"Contract Act, 1872",331,Corporate,Odisha,Governs contractual agreements and breach of contract cases.,Involves legal matters related to businesses and trade practices.
"Consumer Protection Act, 2019",499,Corporate,Karnataka,Protects consumer rights and addresses unfair trade practices.,Involves legal matters related to businesses and trade practices.
"Motor Vehicles Act, 1988",63,Anti-Corruption,Uttar Pradesh,"Regulates motor vehicle laws, accidents, and compensation.",Involves bribery and misuse of power in government offices.
"Motor Vehicles Act, 1988",19,Taxation,Telangana,"Regulates motor vehicle laws, accidents, and compensation.","Covers disputes regarding income tax, GST, and corporate taxation."
"Factories Act, 1948",337,Juvenile Crime,Maharashtra,Ensures worker safety and regulates factory labor laws.,Covers criminal offenses committed by minors.
"Factories Act, 1948",17,Motor Accident,Assam,Ensures worker safety and regulates factory labor laws.,Involves compensation claims for road accident victims.
"Contract Act, 1872",446,Arbitration,Uttar Pradesh,Governs contractual agreements and breach of contract cases.,Settles disputes outside courts through mutual agreement.
"Civil Procedure Code, 1908",107,Environmental Violation,Madhya Pradesh,Governs civil litigation and procedures in Indian courts.,"Involves pollution, illegal deforestation, and climate-related cases."
"Prevention of Corruption Act, 1988",286,Corporate,Chhattisgarh,Deals with bribery and corruption among public officials.,Involves legal matters related to businesses and trade practices.
"Muslim Personal Law (Shariat) Application Act, 1937",434,Civil,Haryana,Applies Islamic laws to Muslim personal matters.,"Deals with disputes related to property, contracts, and defamation."
"Information Technology Act, 2000",413,Criminal,Assam,Addresses cybercrimes and electronic transactions.,"Involves crimes such as theft, assault, and fraud."
"Companies Act, 2013",161,RTI Cases,Bihar,Regulates corporate governance and business operations in India.,Involves cases where public authorities deny access to information.
"Arbitration and Conciliation Act, 1996",466,Cybercrime,Tamil Nadu,Regulates arbitration for dispute resolution outside courts.,"Covers hacking, identity theft, and online fraud cases."
"Right to Information Act, 2005",410,Arbitration,Delhi,Grants citizens access to government records and transparency.,Settles disputes outside courts through mutual agreement.
"Juvenile Justice Act, 2015",322,Criminal,Chhattisgarh,Defines legal provisions for minors involved in crimes.,"Involves crimes such as theft, assault, and fraud."
"National Green Tribunal Act, 2010",135,Anti-Corruption,Rajasthan,Establishes special courts for environmental disputes.,Involves bribery and misuse of power in government offices.
"Environment Protection Act, 1986",155,Taxation,Karnataka,Lays down guidelines for environmental protection and pollution control.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Environment Protection Act, 1986",120,Business Law,Jharkhand,Lays down guidelines for environmental protection and pollution control.,Concerns legal regulations for business operations.
"Right to Information Act, 2005",234,Religious Law,Haryana,Grants citizens access to government records and transparency.,Concerns legal matters governed by personal laws of different religions.
"Right to Information Act, 2005",373,Cybercrime,Delhi,Grants citizens access to government records and transparency.,"Covers hacking, identity theft, and online fraud cases."
"Indian Penal Code, 1860",295,RTI Cases,Andhra Pradesh,Defines criminal offenses and penalties in India.,Involves cases where public authorities deny access to information.
"Protection of Women from Domestic Violence Act, 2005",189,Labor Dispute,Bihar,Provides protection and legal recourse for domestic abuse victims.,Concerns workplace disputes between employees and employers.
"Consumer Protection Act, 2019",215,Arbitration,Maharashtra,Protects consumer rights and addresses unfair trade practices.,Settles disputes outside courts through mutual agreement.
"Muslim Personal Law (Shariat) Application Act, 1937",152,Motor Accident,Tamil Nadu,Applies Islamic laws to Muslim personal matters.,Involves compensation claims for road accident victims.
"Protection of Women from Domestic Violence Act, 2005",31,Environmental Violation,Haryana,Provides protection and legal recourse for domestic abuse victims.,"Involves pollution, illegal deforestation, and climate-related cases."
"National Green Tribunal Act, 2010",270,Consumer Dispute,West Bengal,Establishes special courts for environmental disputes.,Concerns cases of defective products and unfair trade practices.
"Contract Act, 1872",443,Environmental Violation,Karnataka,Governs contractual agreements and breach of contract cases.,"Involves pollution, illegal deforestation, and climate-related cases."
"Companies Act, 2013",59,Anti-Corruption,Maharashtra,Regulates corporate governance and business operations in India.,Involves bribery and misuse of power in government offices.
"Factories Act, 1948",461,Environmental Violation,Chhattisgarh,Ensures worker safety and regulates factory labor laws.,"Involves pollution, illegal deforestation, and climate-related cases."
"National Green Tribunal Act, 2010",399,Arbitration,Gujarat,Establishes special courts for environmental disputes.,Settles disputes outside courts through mutual agreement.
"Hindu Marriage Act, 1955",493,Religious Law,Karnataka,"Regulates marriage, divorce, and inheritance in Hindu families.",Concerns legal matters governed by personal laws of different religions.
"Motor Vehicles Act, 1988",238,Civil,Chhattisgarh,"Regulates motor vehicle laws, accidents, and compensation.","Deals with disputes related to property, contracts, and defamation."
"Environment Protection Act, 1986",263,Cybercrime,Karnataka,Lays down guidelines for environmental protection and pollution control.,"Covers hacking, identity theft, and online fraud cases."
"Arbitration and Conciliation Act, 1996",258,Family Law,Uttarakhand,Regulates arbitration for dispute resolution outside courts.,"Handles disputes related to marriage, divorce, and custody."
"Arbitration and Conciliation Act, 1996",335,Corporate,Gujarat,Regulates arbitration for dispute resolution outside courts.,Involves legal matters related to businesses and trade practices.
"Consumer Protection Act, 2019",493,RTI Cases,Odisha,Protects consumer rights and addresses unfair trade practices.,Involves cases where public authorities deny access to information.
"Information Technology Act, 2000",412,Contractual,Rajasthan,Addresses cybercrimes and electronic transactions.,Addresses breach of contract and non-performance issues.
"Information Technology Act, 2000",32,Criminal,Maharashtra,Addresses cybercrimes and electronic transactions.,"Involves crimes such as theft, assault, and fraud."
"Arbitration and Conciliation Act, 1996",170,RTI Cases,Gujarat,Regulates arbitration for dispute resolution outside courts.,Involves cases where public authorities deny access to information.
"Arbitration and Conciliation Act, 1996",174,Contractual,Bihar,Regulates arbitration for dispute resolution outside courts.,Addresses breach of contract and non-performance issues.
"Factories Act, 1948",451,Consumer Dispute,Andhra Pradesh,Ensures worker safety and regulates factory labor laws.,Concerns cases of defective products and unfair trade practices.
"Income Tax Act, 1961",305,Environmental,Madhya Pradesh,Regulates taxation on income earned in India.,Deals with violations of environmental laws and pollution control.
"Environment Protection Act, 1986",155,RTI Cases,Gujarat,Lays down guidelines for environmental protection and pollution control.,Involves cases where public authorities deny access to information.
"Income Tax Act, 1961",166,Environmental Violation,Karnataka,Regulates taxation on income earned in India.,"Involves pollution, illegal deforestation, and climate-related cases."
"National Green Tribunal Act, 2010",452,Contractual,Punjab,Establishes special courts for environmental disputes.,Addresses breach of contract and non-performance issues.
"Information Technology Act, 2000",488,RTI Cases,Madhya Pradesh,Addresses cybercrimes and electronic transactions.,Involves cases where public authorities deny access to information.
"Right to Information Act, 2005",313,Religious Law,Maharashtra,Grants citizens access to government records and transparency.,Concerns legal matters governed by personal laws of different religions.
"Banking Regulation Act, 1949",304,Consumer Dispute,Delhi,Governs banking policies and financial transactions.,Concerns cases of defective products and unfair trade practices.
"Indian Penal Code, 1860",13,Consumer Dispute,Odisha,Defines criminal offenses and penalties in India.,Concerns cases of defective products and unfair trade practices.
"Contract Act, 1872",313,Corporate,West Bengal,Governs contractual agreements and breach of contract cases.,Involves legal matters related to businesses and trade practices.
"Environment Protection Act, 1986",474,Cybercrime,Uttar Pradesh,Lays down guidelines for environmental protection and pollution control.,"Covers hacking, identity theft, and online fraud cases."
"Banking Regulation Act, 1949",291,Contractual,Punjab,Governs banking policies and financial transactions.,Addresses breach of contract and non-performance issues.
"Companies Act, 2013",500,Cybercrime,Uttarakhand,Regulates corporate governance and business operations in India.,"Covers hacking, identity theft, and online fraud cases."
"Consumer Protection Act, 2019",292,Contractual,West Bengal,Protects consumer rights and addresses unfair trade practices.,Addresses breach of contract and non-performance issues.
"Consumer Protection Act, 2019",131,Criminal,Kerala,Protects consumer rights and addresses unfair trade practices.,"Involves crimes such as theft, assault, and fraud."
"Muslim Personal Law (Shariat) Application Act, 1937",282,Labor Dispute,Uttar Pradesh,Applies Islamic laws to Muslim personal matters.,Concerns workplace disputes between employees and employers.
"National Green Tribunal Act, 2010",419,Cybercrime,Delhi,Establishes special courts for environmental disputes.,"Covers hacking, identity theft, and online fraud cases."
"Indian Penal Code, 1860",225,Environmental Violation,Gujarat,Defines criminal offenses and penalties in India.,"Involves pollution, illegal deforestation, and climate-related cases."
"Civil Procedure Code, 1908",404,RTI Cases,Rajasthan,Governs civil litigation and procedures in Indian courts.,Involves cases where public authorities deny access to information.
"Prevention of Corruption Act, 1988",405,Environmental Violation,Haryana,Deals with bribery and corruption among public officials.,"Involves pollution, illegal deforestation, and climate-related cases."
"Muslim Personal Law (Shariat) Application Act, 1937",255,Motor Accident,Madhya Pradesh,Applies Islamic laws to Muslim personal matters.,Involves compensation claims for road accident victims.
"Consumer Protection Act, 2019",257,Domestic Violence,Kerala,Protects consumer rights and addresses unfair trade practices.,"Deals with physical, emotional, and financial abuse in families."
"Companies Act, 2013",178,RTI Cases,Odisha,Regulates corporate governance and business operations in India.,Involves cases where public authorities deny access to information.
"Companies Act, 2013",429,Labor Dispute,Jharkhand,Regulates corporate governance and business operations in India.,Concerns workplace disputes between employees and employers.
"Hindu Marriage Act, 1955",12,Labor Dispute,Chhattisgarh,"Regulates marriage, divorce, and inheritance in Hindu families.",Concerns workplace disputes between employees and employers.
"Companies Act, 2013",132,Religious Law,Andhra Pradesh,Regulates corporate governance and business operations in India.,Concerns legal matters governed by personal laws of different religions.
"National Green Tribunal Act, 2010",120,Consumer Dispute,Gujarat,Establishes special courts for environmental disputes.,Concerns cases of defective products and unfair trade practices.
"Indian Penal Code, 1860",479,Environmental,Uttar Pradesh,Defines criminal offenses and penalties in India.,Deals with violations of environmental laws and pollution control.
"Prevention of Corruption Act, 1988",71,Family Law,Rajasthan,Deals with bribery and corruption among public officials.,"Handles disputes related to marriage, divorce, and custody."
"Income Tax Act, 1961",194,Arbitration,Madhya Pradesh,Regulates taxation on income earned in India.,Settles disputes outside courts through mutual agreement.
"Indian Penal Code, 1860",265,Religious Law,West Bengal,Defines criminal offenses and penalties in India.,Concerns legal matters governed by personal laws of different religions.
"Factories Act, 1948",36,Consumer Dispute,Haryana,Ensures worker safety and regulates factory labor laws.,Concerns cases of defective products and unfair trade practices.
"Environment Protection Act, 1986",80,Contractual,Telangana,Lays down guidelines for environmental protection and pollution control.,Addresses breach of contract and non-performance issues.
"Factories Act, 1948",294,Taxation,Andhra Pradesh,Ensures worker safety and regulates factory labor laws.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Prevention of Corruption Act, 1988",314,Labor Dispute,Rajasthan,Deals with bribery and corruption among public officials.,Concerns workplace disputes between employees and employers.
"Banking Regulation Act, 1949",470,Taxation,Assam,Governs banking policies and financial transactions.,"Covers disputes regarding income tax, GST, and corporate taxation."
"Civil Procedure Code, 1908",369,Motor Accident,Assam,Governs civil litigation and procedures in Indian courts.,Involves compensation claims for road accident victims.
"Juvenile Justice Act, 2015",394,Contractual,Madhya Pradesh,Defines legal provisions for minors involved in crimes.,Addresses breach of contract and non-performance issues.
"Motor Vehicles Act, 1988",432,Civil,Chhattisgarh,"Regulates motor vehicle laws, accidents, and compensation.","Deals with disputes related to property, contracts, and defamation."
"Juvenile Justice Act, 2015",39,Contractual,Jharkhand,Defines legal provisions for minors involved in crimes.,Addresses breach of contract and non-performance issues.
"Arbitration and Conciliation Act, 1996",283,Religious Law,Telangana,Regulates arbitration for dispute resolution outside courts.,Concerns legal matters governed by personal laws of different religions.
"National Green Tribunal Act, 2010",10,Criminal,Karnataka,Establishes special courts for environmental disputes.,"Involves crimes such as theft, assault, and fraud."
"Civil Procedure Code, 1908",333,Arbitration,Andhra Pradesh,Governs civil litigation and procedures in Indian courts.,Settles disputes outside courts through mutual agreement.
"Protection of Women from Domestic Violence Act, 2005",112,Banking Fraud,Uttar Pradesh,Provides protection and legal recourse for domestic abuse victims.,Covers cases of loan defaults and financial misrepresentation.
"Companies Act, 2013",67,Banking Fraud,Karnataka,Regulates corporate governance and business operations in India.,Covers cases of loan defaults and financial misrepresentation.
"National Green Tribunal Act, 2010",10,Motor Accident,Andhra Pradesh,Establishes special courts for environmental disputes.,Involves compensation claims for road accident victims.
