ID,Advocate Name,Location,Experience (Years),Specialization,Notable Cases Handled,Fee (INR)
82,Adv. Varun Chatterjee,Mumbai,16,Aviation Law,Debt Negotiations,20791
83,Adv. Tarun Khanna,Nagpur,5,Family Law,Homicide,13337
84,Adv. Yogesh Rajput,Chennai,14,Charity & NGO Law,Air Accidents,10126
85,Adv. Neha Joshi,Madurai,11,Juvenile Law,Domestic Violence,16712
86,Adv. Mohit Khandelwal,Warangal,8,Civil Rights Law,Drug Trafficking,39768
87,Adv. Ramesh Rana,Agra,14,Military Law,Unlawful Detention,5626
88,Adv. Devansh Deshmukh,Gwalior,20,Family Law,Road Accidents,47346
89,Adv. Kiran Mishra,Bangalore,7,Intellectual Property Law,Trademark Infringement,8177
90,Adv. Ramesh Kapoor,Chandigarh,13,Trademark & Patent Law,Doping Cases,33363
91,Adv. Divya Patel,Chennai,8,Charity & NGO Law,Bank Fraud,43073
92,Adv. Snehal Dixit,Agra,20,Animal Rights Law,Passenger Rights,22720
93,Adv. Raghav Tiwari,Madurai,9,Telecommunication Law,Player Contracts,41683
94,Adv. Megha Sinha,Vijayawada,17,Aviation Law,Business Disputes,25609
95,Adv. Priya Rajput,Bhopal,15,Animal Rights Law,Drug Trafficking,23118
96,Adv. Vikram Chauhan,Hyderabad,8,Environmental Law,Patent Infringements,37081
97,Adv. Raghav Saxena,Noida,9,Banking Fraud Law,Dispute Settlements,9036
98,Adv. Alok Patel,Pune,16,Defamation Law,Workplace Harassment,46301
99,Adv. Bhavna Arora,Shimla,12,Trademark & Patent Law,Counterfeit Cases,43398
100,Adv. Sneha Rajput,Mumbai,10,Medical Negligence Law,Alimony Cases,34355
101,Adv. Kiran Gupta,Agra,17,Banking Fraud Law,Custody Cases,26387
102,Adv. Anjali Soni,Shimla,9,Land & Property Law,Mutual Divorce,47869
103,Adv. Aarav Pillai,Delhi,13,Transportation Law,Land Acquisition,42321
104,Adv. Pooja Roy,Goa,20,Corporate Law,Rent Disputes,14111
105,Adv. Ajay Rajput,Udaipur,11,Aviation Law,Electoral Malpractices,49770
106,Adv. Nidhi Kapoor,Amritsar,6,Consumer Protection Law,Financial Frauds,31521
107,Adv. Deepa Roy,Ahmedabad,12,Anti-Corruption Law,NGO Registration,40657
108,Adv. Kavita Bhasin,Pune,5,Election Law,NGO Registration,14763
109,Adv. Aarav Menon,Bareilly,20,Banking Fraud Law,Defamation,37690
110,Adv. Nitin Saxena,Bhavnagar,5,Banking Fraud Law,Illegal Possession,7239
111,Adv. Rajeev Bhardwaj,Amritsar,17,Cyber Crime Law,Foreign Trade Disputes,15192
112,Adv. Bhavna Saxena,Asansol,11,Media & Entertainment Law,RTI Cases,46072
113,Adv. Ashwin Mehta,Bareilly,13,Military Law,Air Accidents,42817
114,Adv. Ishita Roy,Gwalior,5,Juvenile Law,Trademark Infringement,35291
115,Adv. Om Prakash Arora,Pune,16,Debt Recovery Law,Land Acquisition,22207
116,Adv. Chetan Jain,Nashik,6,White Collar Crimes,Extradition,13684
117,Adv. Priya Rajput,Varanasi,13,Land & Property Law,Tax Evasion,29789
118,Adv. Mohit Vyas,Kanpur,12,Railway Law,Parental Rights,17246
119,Adv. Varun Pillai,Guwahati,15,Constitutional Law,Illegal Possession,28595
120,Adv. Nitin Dixit,Mysore,15,Trademark & Patent Law,Mutual Divorce,46974
121,Adv. Ashwin Saxena,Indore,20,Environmental Law,Film Contracts,9975
122,Adv. Suraj Dixit,Indore,16,Railway Law,Trademark Infringement,17423
123,Adv. Rajeev Joshi,Ahmedabad,8,Corporate Law,Property Disputes,25190
124,Adv. Ishita Iyer,Gwalior,16,Animal Rights Law,Tax Evasion,7004
125,Adv. Vikram Mishra,Guwahati,20,Debt Recovery Law,Trademark Infringement,9678
126,Adv. Divya Roy,Bareilly,15,Civil Rights Law,Extradition,31115
127,Adv. Ajay Roy,Gorakhpur,14,Business Law,Online Fraud,26496
128,Adv. Mohit Bhasin,Mysore,17,Debt Recovery Law,Player Contracts,44897
129,Adv. Devansh Sinha,Goa,8,Elder Law,Bank Frauds,27194
130,Adv. Parth Khandelwal,Hyderabad,8,Telecommunication Law,Forged Cheques,21221
131,Adv. Sneha Arora,Ranchi,9,Military Law,Landlord-Tenant Issues,11071
132,Adv. Manish Sharma,Mumbai,16,Arbitration & Mediation,Bribery,27946
133,Adv. Veena Deshmukh,Lucknow,11,Aviation Law,Deforestation Cases,47537
134,Adv. Sunita Saxena,Vijayawada,6,Aviation Law,Landlord-Tenant Issues,45422
135,Adv. Tarun Patel,Madurai,16,Military Law,Wrong Diagnosis,14939
136,Adv. Manish Pandey,Gwalior,19,Corporate Law,Defective Products,46532
137,Adv. Chetan Jain,Amritsar,20,Adoption & Surrogacy Law,Defective Products,33882
138,Adv. Megha Rana,Bhavnagar,7,White Collar Crimes,Parental Rights,37753
139,Adv. Sanjana Bhardwaj,Lucknow,9,Business Law,Dispute Settlements,21625
140,Adv. Om Prakash Khandelwal,Solapur,5,Narcotics Law,Fundamental Rights,38721
141,Adv. Vikram Sen,Ranchi,5,Civil Litigation,Passenger Rights,28336
142,Adv. Rohan Saxena,Amritsar,13,Family Law,Bank Fraud,48496
143,Adv. Raghav Sharma,Noida,16,Railway Law,Film Contracts,22532
144,Adv. Mohit Saxena,Surat,10,Consumer Protection Law,Player Contracts,11563
145,Adv. Megha Sen,Meerut,5,Adoption & Surrogacy Law,Data Breach,41528
146,Adv. Veena Dixit,Siliguri,11,Corporate Law,Parental Rights,17630
147,Adv. Om Prakash Sinha,Bhopal,18,Consumer Protection Law,Divorce,5755
148,Adv. Ramesh Joshi,Chandigarh,7,Gender Rights Law,RTI Cases,15799
149,Adv. Akash Das,Gwalior,7,Juvenile Law,Doping Cases,29992
150,Adv. Dheeraj Kaur,Indore,10,Civil Litigation,Illegal Possession,11516
151,Adv. Devansh Kaur,Noida,16,International Law,Loan Defaults,42154
152,Adv. Sanjana Patel,Chandigarh,19,Aviation Law,Parental Rights,48000
153,Adv. Ishita Sinha,Raipur,9,Civil Litigation,Liability Cases,24668
154,Adv. Sneha Chopra,Ahmedabad,17,Taxation Law,Domestic Violence,35032
155,Adv. Nitin Sinha,Udaipur,8,Narcotics Law,Online Fraud,24793
156,Adv. Dheeraj Gupta,Bareilly,10,White Collar Crimes,Doping Cases,16255
157,Adv. Rahul Narang,Jaipur,6,Real Estate Law,Rent Disputes,26992
158,Adv. Parth Saxena,Mumbai,11,Cyber Crime Law,Government Accountability,35188
159,Adv. Rajeev Patel,Solapur,12,Juvenile Law,Fund Mismanagement,47160
160,Adv. Priya Mehta,Indore,10,Adoption & Surrogacy Law,Illegal Possession,48256
161,Adv. Rahul Saxena,Warangal,19,Public Interest Law,Government Scandals,12680
162,Adv. Yogesh Kaur,Siliguri,5,Trademark & Patent Law,Homicide,42274
163,Adv. Ritika Rana,Noida,16,Immigration Law,Court-Martial Cases,25860
164,Adv. Rashi Khanna,Mumbai,12,Taxation Law,Money Laundering Cases,34733
165,Adv. Chetan Das,Gorakhpur,5,Trademark & Patent Law,Insider Trading,43585
166,Adv. Vikram Joshi,Hyderabad,20,Civil Litigation,Loan Defaults,10731
167,Adv. Nitin Tiwari,Bhopal,18,Aviation Law,Foreign Trade Disputes,31718
168,Adv. Nidhi Saxena,Chandigarh,5,Banking & Finance Law,Eviction Cases,45141
169,Adv. Aditya Kapoor,Guwahati,18,Consumer Protection Law,Contract Breaches,17120
170,Adv. Tanvi Jain,Mysore,16,Arbitration & Mediation,Poaching Cases,6367
171,Adv. Deepa Khandelwal,Guwahati,7,Taxation Law,Privacy Issues,24888
172,Adv. Sanjana Kaur,Vadodara,5,Family Law,Fraudulent Sales,38823
173,Adv. Tarun Mehta,Indore,17,Environmental Law,Sexual Harassment,46451
174,Adv. Tanvi Chauhan,Ranchi,12,Constitutional Law,Road Accidents,15071
175,Adv. Om Prakash Nair,Ranchi,14,Election Law,Fraudulent Sales,22742
176,Adv. Akash Agrawal,Vijayawada,13,Medical Negligence Law,Parental Rights,49680
177,Adv. Vikram Chatterjee,Madurai,20,Juvenile Law,Fund Mismanagement,41067
178,Adv. Megha Malhotra,Ranchi,11,Corporate Law,Alimony Cases,26204
179,Adv. Pooja Sen,Asansol,15,Immigration Law,Fundamental Rights,39458
180,Adv. Nitin Gupta,Amritsar,13,Corporate Law,Privacy Issues,49252
181,Adv. Swati Tiwari,Patna,10,Trademark & Patent Law,Loan Disputes,6670
182,Adv. Raghav Rana,Indore,14,Juvenile Law,Homicide,11327
183,Adv. Parth Sharma,Allahabad,16,Arbitration & Mediation,Fraudulent Sales,12325
184,Adv. Mohit Chauhan,Udaipur,8,Business Law,Poaching Cases,49786
185,Adv. Dheeraj Gupta,Nashik,11,Adoption & Surrogacy Law,Parental Rights,39652
186,Adv. Neha Pandey,Meerut,14,Business Law,Juvenile Justice,12794
187,Adv. Divya Choudhary,Thiruvananthapuram,16,Financial Law,Divorce,41600
188,Adv. Om Prakash Gupta,Agra,18,Corporate Law,Poaching Cases,41675
189,Adv. Megha Chauhan,Varanasi,11,Financial Law,Mutual Divorce,47831
190,Adv. Yogesh Mishra,Bhopal,5,Defamation Law,Bribery,36392
191,Adv. Veena Kulkarni,Ranchi,6,Telecommunication Law,Unlawful Detention,19165
192,Adv. Alok Sen,Gwalior,20,Transportation Law,Online Fraud,29844
193,Adv. Manish Kapoor,Vijayawada,18,Taxation Law,Fraudulent Sales,45181
194,Adv. Simran Saxena,Udaipur,5,White Collar Crimes,Unlawful Detention,21047
195,Adv. Manish Kapoor,Shimla,8,Real Estate Law,Visa Fraud,46018
196,Adv. Chetan Saxena,Raipur,13,Human Rights Law,Divorce,5967
197,Adv. Akash Deshmukh,Kanpur,20,Financial Law,Asylum Cases,11031
198,Adv. Priya Iyer,Nashik,17,Aviation Law,Service Disputes,18986
199,Adv. Varun Malhotra,Allahabad,14,Real Estate Law,Financial Frauds,38002
200,Adv. Kiran Jain,Jaipur,16,Business Law,NGO Registration,32903
201,Adv. Sneha Rana,Agra,7,Banking Fraud Law,Cybercrime,18709
202,Adv. Devansh Choudhary,Kanpur,18,Narcotics Law,Hacking,26165
203,Adv. Ritu Jain,Pune,17,Defamation Law,Eviction Cases,16066
204,Adv. Suraj Patel,Warangal,8,Banking Fraud Law,Road Accidents,44945
205,Adv. Vikram Bhardwaj,Ranchi,16,Defamation Law,Cybercrime,25756
206,Adv. Parth Chopra,Chennai,6,Immigration Law,Police Brutality,24127
207,Adv. Rohan Saxena,Jodhpur,5,Civil Litigation,Data Breach,24791
208,Adv. Deepa Patel,Meerut,6,Debt Recovery Law,ISP Disputes,8598
209,Adv. Kunal Yadav,Thiruvananthapuram,13,Railway Law,Fund Mismanagement,11114
210,Adv. Sunita Roy,Delhi,18,Civil Litigation,Land Grabbing,48101
211,Adv. Vikram Kapoor,Mysore,15,Civil Litigation,Forged Cheques,35991
212,Adv. Megha Kapoor,Noida,14,Elder Law,Custody Cases,27505
213,Adv. Mohit Kulkarni,Asansol,16,Narcotics Law,Government Scandals,5700
214,Adv. Vikram Mehta,Madurai,20,Public Interest Law,Fundamental Rights,42442
215,Adv. Pooja Yadav,Gwalior,9,Financial Law,Custody Cases,35256
216,Adv. Kiran Joshi,Vadodara,14,Civil Litigation,Bank Frauds,30738
217,Adv. Anjali Kapoor,Ahmedabad,15,Corporate Law,RTI Cases,19132
218,Adv. Sunita Kapoor,Goa,18,Public Interest Law,Player Contracts,24699
219,Adv. Kavita Pillai,Hubli,16,Intellectual Property Law,Eviction Cases,19454
220,Adv. Nitin Sinha,Jaipur,12,Employment & Labor Law,Train Accidents,18872
221,Adv. Kunal Pandey,Amritsar,15,Elder Law,Fund Mismanagement,42861
222,Adv. Tanvi Soni,Jodhpur,19,Gender Rights Law,Poaching Cases,10447
223,Adv. Kiran Gupta,Noida,14,Business Law,Domestic Violence,13049
224,Adv. Manish Arora,Vijayawada,18,International Law,Financial Frauds,9846
225,Adv. Deepa Mishra,Bhavnagar,16,Election Law,Dispute Settlements,17983
226,Adv. Priya Yadav,Chandigarh,14,Consumer Protection Law,Contract Breaches,49188
227,Adv. Aarav Patel,Raipur,13,Sports Law,Poaching Cases,13197
228,Adv. Simran Chatterjee,Chandigarh,10,Employment & Labor Law,Claim Disputes,41808
229,Adv. Mohit Agrawal,Goa,14,Environmental Law,Workplace Harassment,14688
230,Adv. Aarav Arora,Delhi,14,Land & Property Law,Illegal Possession,24198
231,Adv. Ritu Sen,Warangal,16,Human Rights Law,Animal Cruelty,16785
232,Adv. Snehal Joshi,Noida,7,Financial Law,LGBTQ+ Rights Cases,25708
233,Adv. Tarun Deshmukh,Guwahati,17,Adoption & Surrogacy Law,Human Rights Violations,32740
234,Adv. Priya Tiwari,Surat,11,Anti-Corruption Law,Custody Cases,25014
235,Adv. Ajay Malik,Surat,13,Defamation Law,Divorce,12253
236,Adv. Ishita Sinha,Raipur,7,Consumer Protection Law,Data Breach,46371
237,Adv. Rashi Iyer,Hubli,10,Public Interest Law,Mergers,34526
238,Adv. Rashi Sinha,Asansol,8,Debt Recovery Law,Juvenile Justice,33064
239,Adv. Kunal Patel,Shimla,18,Cyber Law,Fraudulent Insurance Claims,40215
240,Adv. Rohan Rajput,Bhopal,5,Election Law,Government Scandals,47348
241,Adv. Ashwin Khanna,Meerut,16,Narcotics Law,Illegal Possession,39616
242,Adv. Aditya Dixit,Ranchi,5,Elder Law,Juvenile Justice,28501
243,Adv. Rahul Kapoor,Guwahati,9,Intellectual Property Law,Bank Fraud,17501
244,Adv. Sunita Kapoor,Patna,11,International Law,ISP Disputes,24042
245,Adv. Sunita Agrawal,Goa,8,Sports Law,Liability Cases,21881
246,Adv. Rajeev Pandey,Indore,18,Gender Rights Law,Unlawful Termination,45589
247,Adv. Tarun Joshi,Madurai,10,Debt Recovery Law,Claim Disputes,10846
248,Adv. Priya Kapoor,Allahabad,12,International Law,Homicide,29474
249,Adv. Tanvi Agrawal,Indore,11,Arbitration & Mediation,NGO Registration,46605
250,Adv. Manish Soni,Goa,9,Medical Negligence Law,Defamation,33184
251,Adv. Swati Pillai,Coimbatore,15,Debt Recovery Law,Illegal Possession,33928
252,Adv. Pooja Reddy,Ahmedabad,8,Election Law,Hacking,29603
253,Adv. Swati Tiwari,Hubli,12,Cyber Crime Law,Player Contracts,18475
254,Adv. Kunal Deshmukh,Lucknow,12,Charity & NGO Law,Government Accountability,45993
255,Adv. Dheeraj Malhotra,Vijayawada,7,Elder Law,GST Fraud,35623
256,Adv. Sandeep Joshi,Gwalior,8,Public Interest Law,NGO Registration,11802
257,Adv. Om Prakash Rajput,Patna,11,Public Interest Law,Air Accidents,41054
258,Adv. Aarav Kapoor,Chennai,19,Defamation Law,Insider Trading,13114
259,Adv. Priya Iyer,Goa,18,Telecommunication Law,Unlawful Detention,41885
260,Adv. Tanvi Rana,Madurai,8,Corporate Law,NGO Registration,22614
261,Adv. Anjali Soni,Bhopal,8,Family Law,Bank Frauds,15065
262,Adv. Raghav Choudhary,Patna,6,Gender Rights Law,Pollution Violations,19708
263,Adv. Arjun Arora,Indore,14,Elder Law,Mutual Divorce,32725
264,Adv. Kiran Roy,Madurai,10,Juvenile Law,Landlord-Tenant Issues,47305
265,Adv. Bhavna Patel,Madurai,10,Aviation Law,Property Disputes,35794
266,Adv. Kiran Khandelwal,Thiruvananthapuram,11,Arbitration & Mediation,Unlawful Termination,19678
267,Adv. Rashi Malhotra,Shimla,9,Trademark & Patent Law,Breach of Contracts,17505
268,Adv. Ashwin Deshmukh,Shimla,17,Transportation Law,Forged Cheques,16053
269,Adv. Ashwin Rajput,Kolkata,12,Defamation Law,Smuggling Cases,19935
270,Adv. Raghav Bhardwaj,Guwahati,6,Charity & NGO Law,Voting Rights,11446
271,Adv. Sunita Verma,Meerut,10,Banking Fraud Law,Asylum Cases,30860
272,Adv. Yogesh Iyer,Hubli,11,Corporate Law,Passenger Rights,19584
273,Adv. Swati Khanna,Hubli,15,Defamation Law,Homicide,44363
274,Adv. Bhavna Bhasin,Solapur,9,Cyber Crime Law,Police Brutality,6093
275,Adv. Suraj Arora,Agra,19,Cyber Law,Foreign Trade Disputes,19208
276,Adv. Kunal Tiwari,Bhopal,9,Debt Recovery Law,Copyright Disputes,40083
277,Adv. Ajay Jain,Allahabad,14,Transportation Law,Online Harassment,26633
278,Adv. Kavita Mishra,Asansol,17,Business Law,RTI Cases,32436
279,Adv. Akash Rana,Asansol,5,Business Law,Film Contracts,28968
280,Adv. Ashwin Malhotra,Udaipur,10,Banking & Finance Law,Debt Negotiations,31044
281,Adv. Om Prakash Bhasin,Allahabad,12,Debt Recovery Law,Smuggling Cases,5764
282,Adv. Manish Jain,Chandigarh,12,Railway Law,Mergers,18475
283,Adv. Sneha Sinha,Coimbatore,16,Railway Law,Property Disputes,23323
284,Adv. Chetan Kaur,Goa,18,Criminal Law,Fraudulent Sales,40451
285,Adv. Nidhi Bhardwaj,Kanpur,20,Narcotics Law,Air Accidents,21757
286,Adv. Mohit Dixit,Warangal,16,Telecommunication Law,Voting Rights,26157
287,Adv. Aditya Sharma,Thiruvananthapuram,16,Military Law,Fund Mismanagement,32553
288,Adv. Deepa Iyer,Varanasi,8,Financial Law,Dispute Settlements,49371
289,Adv. Alok Jain,Shimla,19,Human Rights Law,Bribery,15970
290,Adv. Sanjana Yadav,Allahabad,10,Corporate Law,Parental Rights,40133
291,Adv. Kavita Khandelwal,Gwalior,15,Aviation Law,Electoral Malpractices,6868
292,Adv. Nidhi Saxena,Hubli,8,White Collar Crimes,Doping Cases,38179
293,Adv. Akash Saxena,Chennai,15,Constitutional Law,Bank Frauds,49838
294,Adv. Rashi Soni,Madurai,13,White Collar Crimes,Corporate Frauds,32398
295,Adv. Akash Gupta,Varanasi,8,Constitutional Law,Fundamental Rights,24532
296,Adv. Vikram Narang,Coimbatore,11,Arbitration & Mediation,Bank Frauds,38532
297,Adv. Mohit Sharma,Ranchi,11,Insurance Law,Workplace Harassment,36387
298,Adv. Divya Narang,Raipur,10,Defamation Law,Debt Negotiations,30031
299,Adv. Veena Sharma,Allahabad,5,Narcotics Law,Debt Negotiations,47538
300,Adv. Kunal Rajput,Lucknow,19,Environmental Law,Workplace Harassment,10068
301,Adv. Neha Joshi,Jaipur,15,Family Law,Police Brutality,10720
302,Adv. Vikram Reddy,Coimbatore,14,Election Law,Fraudulent Insurance Claims,45966
303,Adv. Nidhi Iyer,Thiruvananthapuram,10,Aviation Law,Doping Cases,31103
304,Adv. Yogesh Saxena,Mysore,11,Sports Law,Sexual Harassment,39227
305,Adv. Alok Sinha,Bhopal,10,International Law,Custody Cases,28067
306,Adv. Alok Malhotra,Chandigarh,11,Cyber Law,Foreign Trade Disputes,29210
307,Adv. Tarun Patel,Bareilly,8,Constitutional Law,Privacy Issues,16452
308,Adv. Veena Bhatia,Kolkata,13,Medical Negligence Law,Income Tax Disputes,17379
309,Adv. Aarav Bhatia,Solapur,5,Constitutional Law,Land Grabbing,6837
310,Adv. Megha Khandelwal,Hubli,13,Business Law,Tax Evasion,19334
311,Adv. Varun Saxena,Agra,11,Charity & NGO Law,Counterfeit Cases,38955
312,Adv. Chetan Kapoor,Surat,13,Cyber Law,Road Accidents,29942
313,Adv. Aarav Chopra,Vijayawada,8,Civil Rights Law,Financial Frauds,22240
314,Adv. Kunal Nair,Mumbai,20,Transportation Law,Visa Fraud,7893
315,Adv. Sanjana Iyer,Raipur,12,Narcotics Law,Visa Fraud,9589
316,Adv. Kiran Das,Ranchi,15,Gender Rights Law,GST Fraud,46744
317,Adv. Devansh Khandelwal,Bhopal,16,Financial Law,Smuggling Cases,30946
318,Adv. Mohit Reddy,Coimbatore,14,Debt Recovery Law,Patent Infringements,6089
319,Adv. Raghav Patel,Asansol,20,Charity & NGO Law,Passenger Rights,26310
320,Adv. Nidhi Arora,Indore,7,Defamation Law,Online Harassment,39608
321,Adv. Devansh Dixit,Vijayawada,16,Intellectual Property Law,Road Accidents,29510
322,Adv. Veena Arora,Coimbatore,17,Corporate Law,Money Laundering Cases,20238
323,Adv. Sunita Bhasin,Hyderabad,18,Civil Litigation,Corporate Frauds,37234
324,Adv. Vikram Mehta,Bhopal,10,Business Law,Business Disputes,9095
325,Adv. Veena Malhotra,Kanpur,10,Corporate Law,Fund Mismanagement,11372
326,Adv. Suraj Mishra,Goa,11,Taxation Law,Voting Rights,49567
327,Adv. Alok Nair,Allahabad,12,Public Interest Law,Malpractice,39483
328,Adv. Akash Agrawal,Amritsar,20,Family Law,ISP Disputes,5493
329,Adv. Tarun Roy,Bareilly,9,Gender Rights Law,Wrong Diagnosis,48548
330,Adv. Aditya Choudhary,Vadodara,16,Constitutional Law,Illegal Construction,33527
331,Adv. Vikram Chauhan,Guwahati,16,Railway Law,RTI Cases,19194
332,Adv. Snehal Kapoor,Lucknow,15,Environmental Law,Cybercrime,24234
